Node	Time	Technology	Cost
1	1	Power_Grid	0.0
1	2	Power_Grid	0.0
1	3	Power_Grid	0.0
2	1	Power_Grid	0.0
2	2	Power_Grid	0.0
2	3	Power_Grid	0.0
3	1	Power_Grid	0.0
3	2	Power_Grid	0.0
3	3	Power_Grid	0.0
4	1	Power_Grid	0.0
4	2	Power_Grid	0.0
4	3	Power_Grid	0.0
5	1	Power_Grid	0.0
5	2	Power_Grid	0.0
5	3	Power_Grid	0.0
6	1	Power_Grid	0.0
6	2	Power_Grid	0.0
6	3	Power_Grid	0.0
7	1	Power_Grid	0.0
7	2	Power_Grid	0.0
7	3	Power_Grid	0.0
8	1	Power_Grid	0.0
8	2	Power_Grid	0.0
8	3	Power_Grid	0.0
9	1	Power_Grid	0.0
9	2	Power_Grid	0.0
9	3	Power_Grid	0.0
10	1	Power_Grid	0.0
10	2	Power_Grid	0.0
10	3	Power_Grid	0.0
11	1	Power_Grid	0.0
11	2	Power_Grid	0.0
11	3	Power_Grid	0.0
12	1	Power_Grid	0.0
12	2	Power_Grid	0.0
12	3	Power_Grid	0.0
13	1	Power_Grid	0.0
13	2	Power_Grid	0.0
13	3	Power_Grid	0.0
14	1	Power_Grid	0.0
14	2	Power_Grid	0.0
14	3	Power_Grid	0.0
15	1	Power_Grid	0.0
15	2	Power_Grid	0.0
15	3	Power_Grid	0.0
16	1	Power_Grid	0.0
16	2	Power_Grid	0.0
16	3	Power_Grid	0.0
17	1	Power_Grid	0.0
17	2	Power_Grid	0.0
17	3	Power_Grid	0.0
18	1	Power_Grid	0.0
18	2	Power_Grid	0.0
18	3	Power_Grid	0.0
19	1	Power_Grid	0.0
19	2	Power_Grid	0.0
19	3	Power_Grid	0.0
20	1	Power_Grid	0.0
20	2	Power_Grid	0.0
20	3	Power_Grid	0.0
1	1	ElectricBoiler	0.0
1	2	ElectricBoiler	0.0
1	3	ElectricBoiler	0.0
2	1	ElectricBoiler	0.0
2	2	ElectricBoiler	0.0
2	3	ElectricBoiler	0.0
3	1	ElectricBoiler	0.0
3	2	ElectricBoiler	0.0
3	3	ElectricBoiler	0.0
4	1	ElectricBoiler	0.0
4	2	ElectricBoiler	0.0
4	3	ElectricBoiler	0.0
5	1	ElectricBoiler	0.0
5	2	ElectricBoiler	0.0
5	3	ElectricBoiler	0.0
6	1	ElectricBoiler	0.0
6	2	ElectricBoiler	0.0
6	3	ElectricBoiler	0.0
7	1	ElectricBoiler	0.0
7	2	ElectricBoiler	0.0
7	3	ElectricBoiler	0.0
8	1	ElectricBoiler	0.0
8	2	ElectricBoiler	0.0
8	3	ElectricBoiler	0.0
9	1	ElectricBoiler	0.0
9	2	ElectricBoiler	0.0
9	3	ElectricBoiler	0.0
10	1	ElectricBoiler	0.0
10	2	ElectricBoiler	0.0
10	3	ElectricBoiler	0.0
11	1	ElectricBoiler	0.0
11	2	ElectricBoiler	0.0
11	3	ElectricBoiler	0.0
12	1	ElectricBoiler	0.0
12	2	ElectricBoiler	0.0
12	3	ElectricBoiler	0.0
13	1	ElectricBoiler	0.0
13	2	ElectricBoiler	0.0
13	3	ElectricBoiler	0.0
14	1	ElectricBoiler	0.0
14	2	ElectricBoiler	0.0
14	3	ElectricBoiler	0.0
15	1	ElectricBoiler	0.0
15	2	ElectricBoiler	0.0
15	3	ElectricBoiler	0.0
16	1	ElectricBoiler	0.0
16	2	ElectricBoiler	0.0
16	3	ElectricBoiler	0.0
17	1	ElectricBoiler	0.0
17	2	ElectricBoiler	0.0
17	3	ElectricBoiler	0.0
18	1	ElectricBoiler	0.0
18	2	ElectricBoiler	0.0
18	3	ElectricBoiler	0.0
19	1	ElectricBoiler	0.0
19	2	ElectricBoiler	0.0
19	3	ElectricBoiler	0.0
20	1	ElectricBoiler	0.0
20	2	ElectricBoiler	0.0
20	3	ElectricBoiler	0.0
1	1	HeatPump_LT	0.0
1	2	HeatPump_LT	0.0
1	3	HeatPump_LT	0.0
2	1	HeatPump_LT	0.0
2	2	HeatPump_LT	0.0
2	3	HeatPump_LT	0.0
3	1	HeatPump_LT	0.0
3	2	HeatPump_LT	0.0
3	3	HeatPump_LT	0.0
4	1	HeatPump_LT	0.0
4	2	HeatPump_LT	0.0
4	3	HeatPump_LT	0.0
5	1	HeatPump_LT	0.0
5	2	HeatPump_LT	0.0
5	3	HeatPump_LT	0.0
6	1	HeatPump_LT	0.0
6	2	HeatPump_LT	0.0
6	3	HeatPump_LT	0.0
7	1	HeatPump_LT	0.0
7	2	HeatPump_LT	0.0
7	3	HeatPump_LT	0.0
8	1	HeatPump_LT	0.0
8	2	HeatPump_LT	0.0
8	3	HeatPump_LT	0.0
9	1	HeatPump_LT	0.0
9	2	HeatPump_LT	0.0
9	3	HeatPump_LT	0.0
10	1	HeatPump_LT	0.0
10	2	HeatPump_LT	0.0
10	3	HeatPump_LT	0.0
11	1	HeatPump_LT	0.0
11	2	HeatPump_LT	0.0
11	3	HeatPump_LT	0.0
12	1	HeatPump_LT	0.0
12	2	HeatPump_LT	0.0
12	3	HeatPump_LT	0.0
13	1	HeatPump_LT	0.0
13	2	HeatPump_LT	0.0
13	3	HeatPump_LT	0.0
14	1	HeatPump_LT	0.0
14	2	HeatPump_LT	0.0
14	3	HeatPump_LT	0.0
15	1	HeatPump_LT	0.0
15	2	HeatPump_LT	0.0
15	3	HeatPump_LT	0.0
16	1	HeatPump_LT	0.0
16	2	HeatPump_LT	0.0
16	3	HeatPump_LT	0.0
17	1	HeatPump_LT	0.0
17	2	HeatPump_LT	0.0
17	3	HeatPump_LT	0.0
18	1	HeatPump_LT	0.0
18	2	HeatPump_LT	0.0
18	3	HeatPump_LT	0.0
19	1	HeatPump_LT	0.0
19	2	HeatPump_LT	0.0
19	3	HeatPump_LT	0.0
20	1	HeatPump_LT	0.0
20	2	HeatPump_LT	0.0
